common_name,variety,farmos_name,botanical_name,crop_family,origin,description,lifespan_years,lifecycle_years,maturity_days,strata,succession_stage,plant_functions,harvest_days,germination_time,transplant_days,source
Cowpea,Red,Cowpea (Red),Vigna unguiculata,Fabaceae,Africa,Tropical nitrogen-fixing legume. Excellent summer green manure. Drought tolerant. Edible pods and dried peas. Varieties include Black-Eyed Pea.,1,0.5,0.5,low,pioneer,"nitrogen_fixer,green_manure,edible_seed",60-90,7-10 days,,"FFC, Greenpatch Organic Seeds"
Cucumber,,Cucumber,Cucumis sativus,Cucurbitaceae,South Asia (India),Long burpless cucumber variety. Mild flavor without bitterness. Needs warm soil and consistent moisture.,1,0.5,0.5,medium,secondary,edible_fruit,50-70,,21-42,Various
Cucumber,Burpless,Cucumber (Burpless),Cucumis sativus,Cucurbitaceae,South Asia (India),Long burpless cucumber variety. Mild flavor without bitterness. Needs warm soil and consistent moisture.,1,0.5,0.5,medium,secondary,edible_fruit,50-70,,21-42,Mr Fothergill's
Cucumber,Lebanese,Cucumber (Lebanese),Cucumis sativus,Cucurbitaceae,South Asia (India),"Short Lebanese-style cucumber. Thin skin, crisp flesh, mild flavor. Pick young for best quality.",1,0.5,0.5,medium,secondary,edible_fruit,50-70,,21-42,Mr Fothergill's
Cucumber,Space Master,Cucumber (Space Master),Cucumis sativus,Cucurbitaceae,South Asia (India),Long burpless cucumber variety. Mild flavor without bitterness. Needs warm soil and consistent moisture.,1,0.5,0.5,medium,secondary,edible_fruit,50-70,,21-42,Mr Fothergill's
Curry Leaf,,Curry Leaf,Murraya koenigii,Rutaceae,India / Sri Lanka,"Small evergreen tree, 2-4m tall. Aromatic leaves essential in Indian cuisine. Frost-sensitive but thrives in subtropical NSW. In syntropic systems works as medium-strata aromatic and culinary tree. Attracts beneficial insects when flowering. Slow to establish but productive once mature.",20+,3-10,1,medium,secondary,"edible_leaf,aromatic,beneficial_insects",365,14-21 days,90-180,Various
Davidson Plum,,Davidson Plum,Davidsonia jerseyana,Cunoniaceae,Australia,"Native Australian rainforest tree growing 5-10m. Produces large dark purple plums directly from trunk (cauliflorous). Fruit is tart and rich in antioxidants, used in jams, sauces and bush tucker cuisine. Needs sheltered position with some shade when young. Frost-sensitive but suits subtropical NSW. Valuable native food tree in syntropic systems.",50+,10-20,8,high,climax,"edible_fruit,native_habitat,nectar_source",,,,Daleys Fruit Nursery (bought plant)
Dianella,,Dianella,Dianella spp.,Asphodelaceae,Australia,"Australian native flax lily with tough strap-like leaves and small blue-purple flowers followed by purple berries. Hardy groundcover tolerant of drought and frost. Provides native habitat, erosion control and food for birds.",10-20,5-10,2,low,secondary,"native_habitat,erosion_control,ornamental",,,,Minimbah Permaculture Farm (given plant)
Dill,,Dill,Anethum graveolens,Apiaceae,Mediterranean/Western Asia,Aromatic herb with feathery leaves. Seeds and leaves both culinary. Attracts beneficial insects. Self-seeds readily.,1,0.5,0.5,low,secondary,"aromatic,edible_greens,beneficial_insects",,,21-42,Mr Fothergill's
Eggplant,,Eggplant,Solanum melongena,Solanaceae,South Asia,Long purple eggplant variety. Needs warm conditions and consistent moisture. Harvest when skin is glossy.,1,0.5,0.5,medium,secondary,edible_fruit,70-85,,21-42,Various
Eggplant,Long Purple,Eggplant (Long Purple),Solanum melongena,Solanaceae,South Asia,Long purple eggplant variety. Needs warm conditions and consistent moisture. Harvest when skin is glossy.,1,0.5,0.5,medium,secondary,edible_fruit,70-85,,21-42,Mr Fothergill's
Eucalypt-Gum (Generic),,Eucalypt-Gum (Generic),Eucalyptus,Myrtaceae,Native to Australia,Native eucalypt,100-200,20+,50,emergent,secondary,"aromatic,medicinal,nectar_source,native_habitat",,3 to 4 weeks,,Various
Everlastings,,Everlastings,Rhodanthe chlorocephala,Asteraceae,Native to Australia,Native Australian paper daisy. Pink and white flowers excellent for drying. Annual wildflower. Drought tolerant.,1,0.5,0.5,low,pioneer,"ornamental,native_habitat,beneficial_insects",90-120,14-21 days,21-35,Mr Fothergill's
Fennel,,Fennel,Foeniculum vulgare,Apiaceae,Mediterranean,"Aromatic herb with anise-flavored bulb, fronds and seeds. Florence fennel grown for bulb. Attracts beneficial insects. Self-seeds readily.",2-3,1-3,2,low,secondary,"edible_greens,edible_seed,aromatic,beneficial_insects",80-115,10-14 days,28-42,EDEN SEEDS
Fig,,Fig,Ficus carica,Moraceae,Mediterranean/Western Asia,Deciduous fruit tree producing sweet fruits. Drought tolerant once established. Loves warm Mediterranean-type climate but produces well in subtropical and temperate areas. Give sunny position and well-drained soil.,50-200,10-20,20,high,secondary,edible_fruit,,,,"Daleys Fruit Nursery (bought plant), FFC (1st ORCHARD)"
Finger Lime,,Finger Lime,Citrus australasica,Rutaceae,Native to NSW/QLD,Australian native rainforest citrus producing unique caviar-like lime pearls. Thorny shrub to 6m. Fruit highly prized by chefs. Slow growing but very long-lived. Prefers part shade when young.,50-100,10-20,15,medium,secondary,"edible_fruit,native_habitat",,,,Daleys Fruit Nursery
Forest Red Gum,,Forest Red Gum,Eucalyptus tereticornis,Myrtaceae,Native to NSW,Tall Australian native eucalypt growing to 50m. Excellent honey producer and timber tree. Fast-growing emergent providing wildlife habitat and wind protection.,200-400,20+,50,emergent,climax,"timber,nectar_source,native_habitat,erosion_control",,3 to 4 weeks,,The Seed Vine
Forget-Me-Not,,Forget-Me-Not,Myosotis sylvatica,Boraginaceae,Europe,Delicate blue flowering plant. Biennial or short-lived perennial. Self-seeds freely. Excellent for cottage gardens and attracting pollinators.,2,1-3,1,low,secondary,"ornamental,beneficial_insects",,14-21 days,28-42,Mr Fothergill's
Garlic,,Garlic,Allium sativum,Amaryllidaceae,Central Asia,"Pungent bulb crop grown for culinary and medicinal use. Plant cloves in autumn for summer harvest. Excellent companion plant with pest-repelling properties. Requires vernalisation (cold period) for bulb formation. In syntropic systems, works as low-strata ground layer providing pest deterrence.",1,0.5,1,low,secondary,"edible_bulb,companion_plant,pest_deterrent",150-210,7-14 days,0,Various
Garlic Chives,,Garlic Chives,Allium tuberosum,Amaryllidaceae,Southeast Asia / China,"Perennial herb with flat leaves and garlic-flavoured taste. Grows in clumps, spreading slowly. White star-shaped flowers attract pollinators. In syntropic systems serves as low-strata edible companion plant with pest-repelling properties. Hardy and low-maintenance once established.",5+,1-3,1,low,secondary,"edible_leaf,companion_plant,pest_deterrent,pollinator_attractor",60-90,14-21 days,42-56,Various
Geranium,,Geranium,Pelargonium graveolens,Geraniaceae,South Africa,Scented leaf geranium with rose-like fragrance. Used for aromatics and pest management. Drought tolerant.,3-5,10-20,15,low,secondary,"aromatic,ornamental,pest_management",,,,"Beck & Dan, Krambach, May 2024"
Ginger,,Ginger,Zingiber officinale,Zingiberaceae,South Asia,"Tropical rhizome crop. Plant in spring, harvest when leaves yellow in autumn. Needs warmth, moisture and rich soil.",2-3,1-3,2,low,secondary,"edible_root,aromatic,medicinal",,,28-56,Saved seed (greengrocer)
Ginger - Galangal,,Ginger - Galangal,Alpinia galanga,Zingiberaceae,Southeast Asia,Tropical rhizome related to ginger with distinct pine-citrus flavor. Essential for Thai cooking. Needs warmth and humidity.,3-5,3-10,3,low,secondary,"edible_root,aromatic,medicinal",,,28-56,Various
Grape Vine,,Grape Vine,Vitis vinifera,Vitaceae,France (hybrid),French-American red wine grape variety. Disease resistant and productive. Deep colored wine. Needs trellising. Prefers warm dry autumn for ripening.,50-100,20+,20,medium,secondary,edible_fruit,,,,FFC (farm saved)
Grape Vine,Chambourcin,Grape Vine (Chambourcin),Vitis vinifera hybrid,Vitaceae,France (hybrid),French-American red wine grape variety. Disease resistant and productive. Deep colored wine. Needs trellising. Prefers warm dry autumn for ripening.,50-100,20+,20,medium,secondary,edible_fruit,,,,FFC (farm saved)
Grapefruit,,Grapefruit,Citrus × paradisi,Rutaceae,Barbados (hybrid),"Large evergreen citrus tree, 5-10m tall. Produces large tart-sweet fruit. Vigorous grower needing more space than other citrus. In syntropic systems occupies high strata as productive canopy tree. Prefers warm, frost-free conditions with consistent moisture.",50+,10+,1,high,secondary,"edible_fruit,canopy_cover",270-365,14-28 days,60-90,Various
Green Manure Mix,,Green Manure Mix,Mixed species,Mixed,Various,"Mixed seed blend for cover cropping and green manure. May include legumes, grasses, and brassicas for soil building.",1,0.5,0.5,low,pioneer,"green_manure,nitrogen_fixer,biomass_producer",,7-14 days,,Various
Guava,,Guava,Psidium,Myrtaceae,South America (Brazil),Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,10-20,20,medium,secondary,edible_fruit,,2 to 8 weeks,,Daleys Fruit Nursery
Guava,Hawaiian,Guava (Hawaiian),Psidium guajava,Myrtaceae,South America (Brazil),Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,10-20,20,medium,secondary,edible_fruit,,2 to 8 weeks,,Daleys Fruit Nursery
Guava,Purple,Guava (Purple),Psidium rufum,Myrtaceae,South America (Brazil),Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,10-20,20,medium,secondary,edible_fruit,,2 to 8 weeks,,Daleys Fruit Nursery
Guava,Strawberry,Guava (Strawberry),Psidium cattleianum,Myrtaceae,South America (Brazil),Small fruiting tree with sweet yellow fruit. Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,10-20,20,medium,secondary,edible_fruit,,2 to 8 weeks,,Daleys Fruit Nursery
Guava,Thai White,Guava (Thai White),Psidium guajava,Myrtaceae,South America (Brazil),Drought tolerant once established. Can become weedy - harvest all fruit.,30-50,10-20,20,medium,secondary,edible_fruit,,2 to 8 weeks,,Daleys Fruit Nursery
Gum,Peppermint,Gum (Peppermint),Eucalyptus radiata,Myrtaceae,Native to NSW,Aromatic native eucalypt with peppermint-scented leaves. Source of eucalyptus oil. Tolerates frost and poor soils.,100-200,20+,50,emergent,secondary,"aromatic,medicinal,nectar_source,native_habitat",,3 to 4 weeks,,EDEN SEEDS
Hyssop,,Hyssop,Hyssopus officinalis,Lamiaceae,Mediterranean/Southern Europe,Aromatic semi-evergreen herb to 60cm with blue-purple flower spikes. Excellent bee plant and companion plant. Traditionally used medicinally. Drought tolerant once established. Attracts beneficial insects.,5-10,3-5,2,low,secondary,"aromatic,medicinal,nectar_source,beneficial_insects,companion_plant",,14-21 days,,EDEN SEEDS
Ice Cream Bean,,Ice Cream Bean,Inga edulis,Fabaceae,South America,Fast-growing nitrogen-fixing tree with edible cotton-like fruit pulp. Excellent shade tree and biomass producer. Pods contain sweet white edible flesh around seeds.,30-50,20+,30,high,secondary,"nitrogen_fixer,edible_fruit,biomass_producer",,,,various
Jaboticaba,,Jaboticaba,Plinia cauliflora,Myrtaceae,South America (Brazil),Unusual Brazilian fruit tree with grapes growing directly on trunk (cauliflory). Sweet grape-like flavor. Slow growing but long-lived. Multiple fruiting flushes per year once mature.,100-200,20+,25,medium,climax,edible_fruit,,,,Daleys Fruit Nursery
Jacaranda,,Jacaranda,Jacaranda mimosifolia,Bignoniaceae,South America (Argentina),Ornamental tree with spectacular purple flowers in spring. Provides light dappled shade. Deciduous in winter.,50-100,20+,50,medium,secondary,"ornamental,nectar_source",,,,FFC collect in the area
Jackfruit,,Jackfruit,Artocarpus heterophyllus,Moraceae,South Asia (India),"Tropical tree producing world's largest tree fruit - up to 35kg. Sweet flesh when ripe, savory meat substitute when unripe. Related to breadfruit. Needs frost-free tropical conditions.",100-200,20+,30,high,climax,"edible_fruit,timber",,,,Daleys Fruit Nursery
Kale,Nero di Toscana,Kale (Nero di Toscana),Brassica oleracea var. acephala,Brassicaceae,Mediterranean,Nero di Toscana or Lacinato kale with dark blue-green strap leaves. Heat tolerant dinosaur kale. Highly nutritious cut-and-come-again leafy green.,2,1-3,1,low,secondary,edible_greens,55-75,5-10 days,21-35,Johnsons
Kangaroo Paw,,Kangaroo Paw,Anigozanthos flavidus,Haemodoraceae,Native to Western Australia,Native Australian perennial with tubular flowers resembling kangaroo paws. Attracts birds. Drought tolerant once established.,5-10,3-10,5,low,secondary,"ornamental,native_habitat,nectar_source",,21-60 days,42-56,Mr Fothergill's
Kennedia Nigricans,,Kennedia Nigricans,Kennedia nigricans,Fabaceae,Native to Western Australia,Native Australian nitrogen-fixing climbing vine. Striking black and yellow pea flowers. Excellent for covering fences and trellises. Same species as Black Coral Pea.,5-10,3-10,5,low,pioneer,"nitrogen_fixer,native_habitat,ornamental,erosion_control",,,,Australian Seeds
Kumquat,,Kumquat,Citrus japonica,Rutaceae,Southeast Asia / China,"Small evergreen citrus tree, 2-4m tall. Produces small oval fruit eaten whole including skin. More cold-hardy than most citrus. In syntropic systems works as medium-strata productive tree. Compact habit makes it suitable for tighter spacing.",40+,10+,1,medium,secondary,"edible_fruit,companion_plant",180-270,14-21 days,60-90,Daleys Fruit Nursery (bought plant)
Lavender,,Lavender,Lavandula,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,10-15,10-20,5,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC (farm saved)
Lavender - French,French,Lavender - French,Lavandula dentata,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,1-4,3-10,5,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC (farm saved)
Lavender - True,true,Lavender - True,Lavandula angustifolia,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,10-15,10-20,5,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC (farm saved)
Leek,,Leek,Allium ampeloprasum,Amaryllidaceae,Mediterranean,Hardy onion relative grown for white stem. Hill soil around stems to blanch. Long growing season.,2,1-3,2,low,secondary,edible_greens,90-120,,28-56,Various
Leek,Carentan 2,Leek (Carentan 2),Allium ampeloprasum,Amaryllidaceae,Mediterranean,Hardy onion relative grown for white stem. Hill soil around stems to blanch. Long growing season.,2,1-3,2,low,secondary,edible_greens,90-120,,28-56,Mr Fothergill's
Lemon,,Lemon,Citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,10-20,20,medium,secondary,edible_fruit,,8 weeks,,Supermarket SEEDS/STONES
Lemon Balm,,Lemon Balm,Melissa officinalis,Lamiaceae,Southern Europe,Perennial herb with lemon-scented leaves. Used for tea and culinary. Spreads readily - can become invasive. Attracts bees. Calming medicinal properties.,5-10,3-10,5,low,secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,14-21 days,28-42,Various
Lemon Myrtle,,Lemon Myrtle,Backhousia citriodora,Myrtaceae,Native to Queensland,Australian native rainforest tree with intensely lemon-scented leaves. Leaves used in cooking and for essential oil. Beautiful cream flowers attract bees.,50-100,10-20,20,high,secondary,"aromatic,edible_greens,native_habitat",,8 weeks,,EDEN SEEDS
Lemon-scented Tea Tree,,Lemon-scented Tea Tree,Leptospermum petersonii,Myrtaceae,Native to NSW/QLD coastal,"Australian native tea tree (5–8m) with strongly lemon-scented foliage. Tolerates drought once established. Attracts native bees and butterflies. Used for essential oil, hedge planting, and ornamental landscaping. Distinct from Tea Tree Oil (Melaleuca alternifolia) — same family, different genus.",30-50,10-20,,medium,secondary,"aromatic,medicinal,native_habitat,nectar_source",,21-30 days,,FFC
Lemongrass,,Lemongrass,Cymbopogon citratus,Poaceae,South Asia,Aromatic tropical grass with lemony stalks. Essential for Asian cooking. Forms large clumps. Frost sensitive.,4-6,3-10,4,low,secondary,"aromatic,medicinal,edible_greens,pest_management",,,,FFC
Lettuce,,Lettuce,Lactuca sativa,Asteraceae,Mediterranean,Succession plant for continuous supply.,1,0.5,0.5,medium,secondary,edible_greens,45-60,,21-42,Various
Lettuce,Cos,Lettuce (Cos),Lactuca sativa,Asteraceae,Mediterranean,Upright cos/romaine lettuce with crisp leaves. Heat tolerant variety. Harvest outer leaves or whole head.,1,0.5,0.5,medium,secondary,edible_greens,45-60,,21-42,Johnsons
Lettuce,Mix,Lettuce (Mix),Lactuca sativa,Asteraceae,Mediterranean,Mixed salad lettuce varieties for cut-and-come-again harvesting. Succession plant for continuous supply.,1,0.5,0.5,medium,secondary,edible_greens,45-60,,21-42,D.T. Brown
Lilly Pilly,,Lilly Pilly,Syzygium spp.,Myrtaceae,Native to NSW/QLD,Native Australian rainforest tree with edible pink/purple fruit. Dense glossy foliage. Good hedging plant. Attracts birds. Species to be verified.,50-100,10-20,15,high,secondary,"edible_fruit,native_habitat,ornamental",,30-90 days,,"FFC, MINIMBAH P F"
Linseed,,Linseed,Linum usitatissimum,Linaceae,Middle East,Flax grown for nutritious oilseeds. Blue flowers. Seeds rich in omega-3 fatty acids. Ancient crop also used for fiber.,1,0.5,0.5,low,secondary,"edible_seed,oil_production",90-120,7-10 days,,Supermarket
Flax,Brown,Linseed (Brown),Linum usitatissimum,Linaceae,Middle East,Brown-seeded flax variety grown for nutritious oilseeds rich in omega-3 fatty acids. Also used as green manure cover crop. Blue flowers.,1,0.5,0.5,low,secondary,"edible_seed,oil_production,green_manure",90-120,7-10 days,,Coles
Liquidambar,,Liquidambar,Liquidambar styraciflua,Altingiaceae,North America,American sweetgum. Large deciduous tree with spectacular autumn color. Star-shaped leaves. Spiky seed balls.,100-200,20+,50,emergent,climax,"ornamental,timber",,30-60 days,,FFC
Longan,,Longan,Dimocarpus longan,Sapindaceae,Southeast Asia,Tropical fruit tree related to lychee. Translucent sweet flesh around single seed. More cold tolerant than lychee. Dense evergreen canopy. Dragon's Eye fruit.,100-200,20+,25,high,climax,edible_fruit,,,,Daleys Fruit Nursery
Luffa,,Luffa,Luffa aegyptiaca,Cucurbitaceae,South Asia,Climbing vine producing edible fruit when young. Mature fruits dry to produce natural bath sponges. Needs long warm growing season.,1,0.5,0.5,low,secondary,edible_fruit,120-150,7-14 days,21-35,Greenpatch Organic Seeds
Lupin,,Lupin,Lupinus hartwegii,Fabaceae,Central America (Mexico),Ornamental annual lupin with blue/pink/white flowers. Nitrogen-fixing legume. Good for cut flowers and soil building.,1,0.5,0.5,low,pioneer,"nitrogen_fixer,ornamental,beneficial_insects",90-120,14-21 days,21-35,Greenpatch Organic Seeds
Macadamia,,Macadamia,Macadamia integrifolia,Proteaceae,Native to NSW/QLD,Australian native rainforest tree producing premium edible nuts. World's most valuable commercial nut crop originated from NSW. Grows 10-15m. Needs well-drained acid soil. Beautiful cream flower racemes.,100-200,20+,25,high,climax,"edible_nut,native_habitat,nectar_source",,,,Daleys Fruit Nursery
Malabar Chestnut,,Malabar Chestnut,Pachira aquatica,Malvaceae,Central/South America,Tropical tree to 18m with edible chestnut-like seeds. Often sold as money tree houseplant. Seeds roasted taste like peanuts. Tolerates wet conditions.,50-100,20+,20,high,secondary,edible_nut,,,,Daleys Fruit Nursery
Mango,,Mango,Mangifera indica,Anacardiaceae,South Asia (India),Tropical fruit tree producing delicious sweet fruit. Long-lived climax species. Grafted trees fruit quicker than seedlings. Needs frost-free position.,100-300,20+,50,high,climax,edible_fruit,,,,Daleys Fruit Nursery
Marigold,,Marigold,Tagetes patula,Asteraceae,Central America (Mexico),Companion plant repelling pests with strong scent. Root exudates suppress soil nematodes. Orange and yellow flowers attract pollinators. Easy annual.,1,0.5,0.5,low,secondary,"pest_management,beneficial_insects,companion_plant",45-50,5-7 days,14-28,Various
Marigold,African,Marigold (African),Tagetes patula,Asteraceae,Central America (Mexico),Companion plant repelling pests with strong scent. Root exudates suppress soil nematodes. Orange and yellow flowers attract pollinators. Easy annual.,1,0.5,0.5,low,secondary,"pest_management,beneficial_insects,companion_plant",45-50,5-7 days,14-28,Mr Fothergill's
Marigold,French - Dwarf,Marigold (French - Dwarf),Tagetes patula,Asteraceae,Central America (Mexico),Companion plant repelling pests with strong scent. Root exudates suppress soil nematodes. Orange and yellow flowers attract pollinators. Easy annual.,1,0.5,0.5,low,secondary,"pest_management,beneficial_insects,companion_plant",45-50,5-7 days,14-28,Mr Fothergill's
Marigold,French,Marigold (French),Tagetes patula,Asteraceae,Central America (Mexico),Companion plant repelling pests with strong scent. Root exudates suppress soil nematodes. Orange and yellow flowers attract pollinators. Easy annual.,1,0.5,0.5,low,secondary,"pest_management,beneficial_insects,companion_plant",45-50,5-7 days,14-28,Mr Fothergill's
Melaleuca,Ball Honey Myrtle,Melaleuca (Ball Honey Myrtle),Melaleuca nodosa,Myrtaceae,Native to NSW,Native Australian dense shrub to 4m with ball-shaped cream flowers. Highly attractive to native bees. Forms excellent hedges and windbreaks. Very hardy.,20-40,10-20,10,medium,pioneer,"nectar_source,native_habitat,windbreak,beneficial_insects",,,,Koala Day Tinonee 5 2025 (given plant)
Melaleuca (Generic),,Melaleuca (Generic),Melaleuca spp.,Myrtaceae,Native to Australia,"Native Australian paperbark tree. Species to be verified. Multiple species grown at FFC including Tea Tree, Snow in Summer, and others.",50-100,10-20,15,high,secondary,"native_habitat,nectar_source,aromatic,medicinal",,14-30 days,,"FFC, MINIMBAH P F"
Melaleuca,Snow in Summer,Melaleuca (Snow in Summer),Melaleuca linariifolia,Myrtaceae,Native to NSW/QLD,Paperbark tree to 10m covered in white flowers during summer. Fine linear leaves. Extremely nectar-rich - major honey producer. Tolerates wet conditions.,30-50,10-20,15,high,pioneer,"nectar_source,native_habitat,erosion_control",,,,Koala Day Tinonee 5 2025 (given plant)
Melaleuca-White Feather Honey Myrtle,Decora,Melaleuca-White Feather Honey Myrtle (Decora),Melaleuca decora,Myrtaceae,Native to NSW,Australian native paperbark to 10m with white bottlebrush flowers. Excellent nectar producer. Tolerates wet soils and periodic flooding. Hardy pioneer for degraded sites.,30-50,10-20,15,high,pioneer,"nectar_source,native_habitat,erosion_control",,,,Native nursery
Melon,,Melon,Cucumis melo,Cucurbitaceae,Africa/South Asia,Sweet melon variety. Needs warm soil and long growing season. Reduce water as fruit ripens for sweeter flavor.,1,0.5,0.5,low,secondary,edible_fruit,70-90,,21-42,FFC
Millet,,Millet,Panicum miliaceum,Poaceae,Asia,Fast-growing grain crop and green manure. Drought tolerant summer annual. Seeds edible as grain. Good biomass producer. Attracts birds when seeding.,1,0.5,0.5,medium,pioneer,"green_manure,biomass_producer,edible_seed",60-90,5-7 days,,CRT TAREE
Millet,White French,Millet (White French),Panicum miliaceum,Poaceae,Asia,Fast-growing grain crop and green manure. Drought tolerant summer annual. Seeds edible as grain. Good biomass producer. Attracts birds when seeding.,1,0.5,0.5,medium,pioneer,"green_manure,biomass_producer,edible_seed",60-90,5-7 days,,Greenpatch Organic Seeds
Mint,,Mint,Mentha spicata,Lamiaceae,Europe/Middle East,"Vigorous spreading herb - best grown in containers to control spread. Fresh leaves for tea, cooking and drinks.",5-10,3-10,5,low,secondary,"aromatic,medicinal,edible_greens",,2 weeks,,FFC (farm saved)
Mint,Australian,Mint (Australian),Mentha australis,Lamiaceae,Australia,"Native Australian mint species. Hardy perennial groundcover found along creek banks and moist areas. Milder flavour than European mint species. Valuable in syntropic systems as native groundcover, beneficial insect habitat, and culinary herb.",5-10,3-10,,low,secondary,"aromatic,medicinal,edible_greens,native_habitat",,,,FFC (farm saved)
Mulberry,,Mulberry,Morus,Moraceae,Western Asia,"Deciduous fruit tree, 2-5m tall. Large juicy sweet-tart black fruit to 4cm. Virtually maintenance-free and fairly drought-resistant once established. Suited to subtropical and warm temperate climates. Fruits October-November. In syntropic systems serves as high-strata productive tree providing seasonal canopy and abundant fruit.",50+,10+,1,high,secondary,"edible_fruit,canopy_cover,deciduous_light",365,N/A (cutting),0,Daleys Fruit Nursery
Mulberry,Beenleigh Black,Mulberry (Beenleigh Black),Morus nigra,Moraceae,Western Asia,"Deciduous fruit tree, 2-5m tall. Large juicy sweet-tart black fruit to 4cm. Virtually maintenance-free and fairly drought-resistant once established. Suited to subtropical and warm temperate climates. Fruits October-November. In syntropic systems serves as high-strata productive tree providing seasonal canopy and abundant fruit.",50+,10+,1,high,secondary,"edible_fruit,canopy_cover,deciduous_light",365,N/A (cutting),0,Daleys Fruit Nursery
Mulberry,White,Mulberry (White),Morus alba,Moraceae,China,Fast-growing deciduous tree producing sweet white-pink fruit. Excellent for biomass - recovers quickly from hard pruning. Also fodder for silkworms.,50-100,20+,30,high,secondary,"edible_fruit,biomass_producer,fodder",,,,EDEN SEEDS
Mung Bean,,Mung Bean,Vigna radiata,Fabaceae,South Asia (India),Warm season nitrogen-fixer producing bean sprouts. Quick green manure. Edible seeds and sprouts. Part of traditional green manure mixes.,1,0.5,0.5,low,pioneer,"nitrogen_fixer,green_manure,edible_seed",60-90,3-5 days,,FFC
Mustard,White Yellow,Mustard (White Yellow),Sinapis alba,Brassicaceae,Mediterranean,White/yellow mustard used as green manure cover crop. Fast-growing with deep taproots that break compaction. Biofumigant properties suppress soil-borne diseases. Excellent bee forage.,1,0.5,0.5,low,pioneer,"green_manure,biomass_producer,beneficial_insects,pest_management",,3-7 days,,Greenpatch Organic Seeds
Nasturtium,,Nasturtium,Tropaeolum majus,Tropaeolaceae,South America (Peru),Trailing edible-flowered plant. Peppery leaves and flowers for salads. Excellent trap crop for aphids. Self-seeds readily. Thrives in poor soil.,1,0.5,0.5,low,secondary,"edible_greens,edible_flower,pest_management,companion_plant,living_mulch",50-60,7-14 days,,FFC
Native Sarsaparilla,,Native Sarsaparilla,Hardenbergia violacea,Fabaceae,Native to Eastern Australia,Native Australian nitrogen-fixing climber or groundcover. Purple pea flowers in winter/spring. Also called Happy Wanderer or False Sarsaparilla. Hardy and drought tolerant.,10-20,10-20,5,low,pioneer,"nitrogen_fixer,native_habitat,ornamental,erosion_control",,21-60 days,28-42,FFC (farm saved)
Nettle,,Nettle,Urtica dioica,Urticaceae,Europe / Asia / North America,"Herbaceous perennial, 0.5-1.5m tall. Highly nutritious edible leaves (cooked). Excellent dynamic accumulator drawing minerals from deep soil. Valued for liquid fertiliser production and compost activation. In syntropic systems serves as low-strata nutrient cycling plant and beneficial insect habitat.",5+,1-3,1,low,secondary,"dynamic_accumulator,edible_leaf,compost_activator,beneficial_insects",60-90,10-14 days,42-56,"FFC, Greenpatch Organic Seeds (bought plant)"
Oat,,Oat,Avena sativa,Poaceae,Southwest Asia,Cool season cereal and cover crop. Excellent biomass for mulching. Seeds edible as grain. Part of winter green manure mixes. Good for breaking compaction.,1,0.5,0.5,medium,pioneer,"green_manure,biomass_producer,edible_seed",90-120,7-10 days,,Greenpatch Organic Seeds
Okra,,Okra,Abelmoschus esculentus,Malvaceae,Africa,Tropical vegetable producing edible pods. Royal Burgundy variety has beautiful red pods. Needs heat - won't grow well in cool weather. Pick pods young and often.,1,0.5,0.5,medium,secondary,edible_fruit,55-65,7-14 days,21-35,FFC
Olive,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,50,high,climax,"edible_fruit,oil_production",,,,FFC (farm saved)
Olive,Kalamata,Olive (Kalamata),Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,50,high,climax,"edible_fruit,oil_production",,,,FFC (farm saved)
Onion,,Onion,Allium cepa,Amaryllidaceae,Central Asia,Biennial vegetable grown as annual. Most widely cultivated Allium species. Choose short or long day varieties for your latitude. Well-drained fertile soil essential.,2,0.5,0.5,low,secondary,edible_root,80-150,7-14 days,28-42,Greenpatch Organic Seeds
Onion,Gladalan Brown,Onion (Gladalan Brown),Allium cepa,Amaryllidaceae,Central Asia,"Gladalan Brown onion variety. Brown-skinned, reliable Australian variety with good storage qualities. Long day type suited to NSW conditions.",2,0.5,0.5,low,secondary,edible_root,,,,Various
